state,subunitID,candidateID,candidateName,voteCount
AR,05015,AR13759,Myers,30
AR,05015,AR13750,Carroll,28
AR,05015,AR13751,Blankenship,26
AR,05015,AR13769,Collins,22
AR,05015,AR13755,De La Fuente,22
AR,05015,AR13756,Gammon,19
AR,05015,AR13757,Pierce,9
AR,05015,AR13752,La Riva,5
AR,05017,AR13356,Biden,2252
AR,05017,AR12686,Trump,1750
AR,05017,AR13758,West,20
AR,05017,AR13753,Jorgensen,17
AR,05017,AR13757,Pierce,16
AR,05017,AR13750,Carroll,8
AR,05017,AR13752,La Riva,7
AR,05017,AR13751,Blankenship,5
AR,05017,AR13769,Collins,5
AR,05017,AR13754,Hawkins,5
AR,05017,AR13759,Myers,4
AR,05017,AR13755,De La Fuente,2
AR,05017,AR13756,Gammon,2
AR,05019,AR12686,Trump,4605
AR,05019,AR13356,Biden,3413
AR,05019,AR13753,Jorgensen,78
AR,05019,AR13769,Collins,66
AR,05019,AR13754,Hawkins,48
AR,05019,AR13758,West,37
AR,05019,AR13751,Blankenship,29
AR,05019,AR13750,Carroll,24
AR,05019,AR13755,De La Fuente,13
AR,05019,AR13756,Gammon,12
AR,05019,AR13752,La Riva,12
AR,05019,AR13759,Myers,11
AR,05019,AR13757,Pierce,10
AR,05021,AR12686,Trump,4084
AR,05021,AR13356,Biden,959
AR,05021,AR13753,Jorgensen,53
AR,05021,AR13751,Blankenship,19
AR,05021,AR13769,Collins,13
AR,05021,AR13754,Hawkins,11
AR,05021,AR13758,West,11
AR,05021,AR13757,Pierce,9
AR,05021,AR13759,Myers,8
AR,05021,AR13756,Gammon,4
AR,05021,AR13750,Carroll,3
AR,05021,AR13752,La Riva,3
AR,05021,AR13755,De La Fuente,1
AR,05023,AR12686,Trump,10292
AR,05023,AR13356,Biden,1962
AR,05023,AR13753,Jorgensen,105
AR,05023,AR13769,Collins,74
AR,05023,AR13751,Blankenship,57
AR,05023,AR13758,West,29
AR,05023,AR13750,Carroll,26
AR,05023,AR13756,Gammon,24
AR,05023,AR13759,Myers,19
AR,05023,AR13754,Hawkins,10
AR,05023,AR13757,Pierce,10
