ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
,45,380,362,12,5,0,0,1
,46,341,320,17,1,3,0,0
,47,358,338,18,1,0,0,1
,48,397,384,9,2,1,1,0
,49,383,370,12,1,0,0,0
,50,423,404,13,4,1,1,0
,51,435,419,14,1,0,0,1
,52,510,497,11,1,0,0,1
,53,246,233,9,3,1,0,0
,54,373,337,27,4,2,2,1
,55,344,325,16,0,3,0,0
,56,433,425,5,2,1,0,0
9,1,404,386,14,1,0,0,3
,2,321,307,9,1,2,2,0
,3,304,287,13,2,1,1,0
,4,310,304,3,2,0,1,0
,5,387,375,7,1,2,1,1
,6,369,358,9,1,0,1,0
,7,304,284,17,2,0,1,0
,8,423,399,19,3,1,0,1
,9,473,460,10,1,2,0,0
,10,310,301,7,1,0,1,0
,11,284,269,14,0,0,1,0
,12,432,404,23,3,0,0,2
,13,447,434,12,1,0,0,0
,14,444,426,16,1,1,0,0
,15,530,495,28,2,2,1,2
,16,361,345,12,1,1,1,1
,17,323,307,10,3,1,1,1
,18,294,288,4,0,2,0,0
,19,381,370,7,2,1,1,0
,20,371,355,9,3,3,1,0
,21,386,368,17,0,0,0,1
,22,420,392,25,3,0,0,0
,23,423,408,10,2,2,1,0
,24,396,377,16,0,1,1,1
,25,379,366,9,1,1,0,2
,26,516,485,24,2,3,1,1
,27,340,328,8,2,1,1,0
,28,259,234,25,0,0,0,0
,29,358,340,15,2,0,0,1
,30,337,316,21,0,0,0,0
,31,324,309,12,1,1,0,1
,32,395,376,17,2,0,0,0
,33,316,300,14,2,0,0,0
,34,344,324,16,3,0,0,1
,35,358,340,12,2,2,0,2
,36,349,339,7,2,1,0,0
,37,595,506,77,7,3,0,2
,38,393,376,12,3,1,1,0
,39,421,412,8,0,1,0,0
,40,438,423,12,1,2,0,0
,41,345,330,12,2,1,0,0
,42,404,388,13,3,0,0,0
,43,377,352,19,2,0,0,4
,44,340,332,8,0,0,0,0
,45,338,326,8,3,1,0,0
,46,371,346,20,4,0,0,1
,47,404,393,5,4,0,0,2
,48,419,404,13,1,0,1,0
,49,433,419,11,0,0,0,3
,50,560,537,18,3,0,1,1
,51,374,360,11,1,1,1,0
10,1,356,323,28,1,1,0,3
,2,429,249,173,4,0,1,2
,3,478,306,167,3,0,0,2
,4,336,304,29,0,2,0,1
,5,374,234,133,3,2,0,2
,6,371,283,84,1,2,0,1
,7,328,267,56,1,2,0,2
,8,250,228,19,2,0,0,1
,9,427,266,159,0,1,0,1
,10,489,351,132,1,1,1,3
,11,531,412,109,1,6,0,3
,12,313,230,80,0,1,1,1
,13,401,346,50,1,0,1,3
,14,573,447,121,3,1,0,1
,15,725,697,21,4,2,0,1
,16,346,232,106,6,0,0,2
,17,583,364,207,6,2,0,4
,18,259,241,15,1,1,0,1
,19,459,321,133,3,0,1,1
,20,453,352,96,2,2,0,1
,21,452,326,119,3,3,1,0
,22,260,209,47,0,0,2,2
,23,390,319,65,6,0,0,0
,24,455,268,183,2,0,0,2
,25,117,111,4,0,1,0,1
,26,309,264,39,2,2,0,2
,27,388,353,33,0,1,0,1
,28,496,406,85,3,1,0,1
,29,470,382,81,2,1,1,3
,30,394,309,74,1,6,1,3
,31,362,310,50,1,1,0,0
,32,460,345,112,0,2,0,1
,33,339,285,50,1,2,0,1
,34,317,280,34,1,2,0,0
,35,473,304,163,2,3,0,1
,36,112,97,14,1,0,0,0
11,1,514,346,156,3,2,2,5
,2,51,39,12,0,0,0,0
,3,474,424,38,5,3,2,2
,4,428,298,125,1,2,0,2
,5,640,482,133,13,4,4,4
,6,724,606,109,2,0,0,7
,7,482,425,50,3,1,0,3
,8,479,345,127,1,1,2,3
,9,471,304,155,2,1,2,7
,10,515,326,182,3,1,1,2
,11,576,384,184,3,1,1,3
,12,727,310,406,4,1,1,5
,13,672,287,371,4,2,1,7
,14,350,195,151,2,0,1,1
,15,205,140,61,1,1,1,1
,16,397,237,150,2,2,2,4
,17,594,439,140,9,1,1,4
,18,435,255,170,6,0,2,2
,19,667,485,159,8,3,3,9
,20,389,225,159,3,1,0,1
,21,631,344,274,3,1,1,8
,22,608,397,201,1,3,1,5
,23,280,157,112,3,2,0,6
,24,568,317,240,4,0,0,7
,25,636,443,176,7,3,1,6
,26,535,346,173,7,4,0,5
,27,206,125,75,2,1,0,3
,28,265,134,126,1,0,1,3
,29,599,322,266,5,0,0,6
,30,285,170,115,0,0,0,0
,31,541,274,264,2,0,0,1
,32,235,98,132,2,0,0,3
,33,580,443,125,4,0,2,6
,34,227,135,91,0,0,0,1
,35,123,73,48,0,0,1,1
,36,238,141,93,4,0,0,0
,37,176,131,42,1,1,0,1
,38,235,197,31,5,0,0,2
12,1,433,335,86,3,6,0,3
,2,405,327,72,3,2,0,1
,3,529,429,88,3,3,0,6
,4,492,377,98,8,4,1,4
,5,418,277,134,1,1,3,2
,6,547,421,111,5,0,2,8
,7,420,371,33,7,4,2,3
,8,457,352,96,5,2,0,2
,9,386,290,85,3,3,1,4
,10,537,484,41,6,3,1,2
,11,492,393,95,0,4,0,0
,12,450,361,84,4,1,0,0
,13,488,382,102,1,1,1,1
,14,406,364,38,1,0,1,2
,15,393,342,45,4,2,0,0
,16,394,343,46,1,0,0,4
,17,504,402,90,2,5,0,5
,18,356,310,32,4,6,2,2
,19,418,328,82,3,4,0,1
,20,507,406,95,1,2,0,3
,21,471,388,74,2,2,0,5
,22,405,349,41,10,3,1,1
,23,452,359,85,2,2,0,4
13,1,392,228,157,3,0,1,3
,2,338,170,165,1,1,0,1
,3,325,266,51,2,2,1,3
,4,438,224,209,3,2,0,0
,5,458,365,85,3,0,0,5
,6,386,179,203,2,0,0,2
,7,324,232,79,3,5,0,5
,8,311,197,113,0,1,0,0
,9,405,312,85,7,1,0,0
,10,369,143,220,1,0,1,4
,11,451,265,185,0,0,0,1
,12,349,246,96,5,0,0,2
,13,381,291,88,0,1,1,0
,14,366,267,91,4,1,1,2
,15,564,458,96,5,2,1,2
,16,283,237,45,0,0,0,1
,17,348,214,129,4,0,0,1
,18,336,174,156,3,0,0,3
,19,486,414,59,4,7,0,2
,20,288,133,153,0,0,0,2
,21,459,211,242,2,0,2,2
,22,448,211,229,4,0,1,3
,23,310,241,62,1,3,1,2
,24,398,277,118,2,1,0,0
,25,398,301,92,2,2,0,1
,26,406,259,138,2,3,0,4
,27,396,250,142,1,0,0,3
,28,304,237,66,1,0,0,0
,29,305,215,90,0,0,0,0
,30,323,280,39,3,0,0,1
,31,448,216,227,0,1,0,4
,32,365,152,210,0,0,0,3
,33,384,181,195,2,1,1,4
,34,385,333,49,1,1,0,1
,35,354,263,83,3,1,1,3
,36,274,220,50,1,2,0,1
,37,386,309,73,2,2,0,0
,38,342,167,172,1,0,0,2
,39,373,292,75,5,0,0,1
,40,403,272,123,2,2,0,4
,41,465,398,60,3,2,0,2
,42,419,194,221,0,0,1,3
,43,412,281,123,5,0,0,3
,44,384,320,59,2,1,2,0
,45,427,250,171,3,2,0,1
,46,451,337,102,0,6,0,6
,47,461,372,80,4,5,0,0
,48,361,197,160,3,0,0,1
